devoli_name,actual_xero_name
Aborgen,IGNORE
CubeICTTest,IGNORE
Dyer Whitechurch,Dyer Whitechurch Lawyers (SPARK)
Dyer Whitechurch Lawyers (SPARK),Dyer Whitechurch Lawyers (SPARK)
Farro,Farro Fresh Food Limited
Farro Temp,Farro Fresh Food Limited
Fitzroy,Dialog Fitzroy Limited
HCP - Harcourts Port Realty,Harcourts Pukekohe | Port Realty Ltd
Jetts Fitness,Fitness and Lifestyle Group NZ Ltd (SPARK)
Kumeu Village,Kumeu Village Aged Care Limited
MUMA,MUMA (Manukau Urban Maori Authority)
Odyssey House Trust,Odyssey House Trust
PMP New Zealand,Plastic Materials and Processes (New Zealand) Ltd
Sensium,Sensium Limited
Sensium Pty Ltd,Sensium Limited
South Pacific Music,South Pacific Music Distributors Limited
The Service Company,The Service Company Limited
Tiakina Te Ora Medical Practice,Tiakina Te Ora Limited (SPARK)
Trinity Wharf,Trinity Wharf Tauranga (SPARK)
Waterware Limited,Waterware Services Limited
WilsonHarle,Wilson Harle
iT360 Demo 3CX,IGNORE
iT360 SIP Trunk,IGNORE
